Category,Subcategory,Product Name,Brand,Unit,MRP,Price,Stock,Description
Vegetable Seeds,Radish,Radish Open-Pollinated Seeds,Indo-American,25g,60,43,117,High-germination open-pollinated radish seeds for home gardens and commercial farms.
Vegetable Seeds,Radish,Radish Desi (Native) Seeds,Syngenta,100g,150,112,133,High-germination desi (native) radish seeds for home gardens and commercial farms.
Vegetable Seeds,Beetroot,Beetroot Hybrid Seeds,East-West (Known-You),100g,75,52,229,High-germination hybrid beetroot seeds for home gardens and commercial farms.
Vegetable Seeds,Beetroot,Beetroot Open-Pollinated Seeds,VNR,Pack of 50 seeds,60,51,67,High-germination open-pollinated beetroot seeds for home gardens and commercial farms.
Vegetable Seeds,Beetroot,Beetroot Desi (Native) Seeds,Pahuja,Pack of 50 seeds,180,156,240,High-germination desi (native) beetroot seeds for home gardens and commercial farms.
Vegetable Seeds,Cucumber,Cucumber Hybrid Seeds,Indo-American,100g,99,77,245,High-germination hybrid cucumber seeds for home gardens and commercial farms.
Vegetable Seeds,Cucumber,Cucumber Open-Pollinated Seeds,IGO Seeds,25g,60,42,265,High-germination open-pollinated cucumber seeds for home gardens and commercial farms.
Vegetable Seeds,Cucumber,Cucumber Desi (Native) Seeds,Namdhari,10g,45,34,92,High-germination desi (native) cucumber seeds for home gardens and commercial farms.
Vegetable Seeds,Bottle Gourd,Bottle Gourd Hybrid Seeds,IGO Seeds,10g,120,87,226,High-germination hybrid bottle gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Bottle Gourd,Bottle Gourd Open-Pollinated Seeds,IGO Seeds,Pack of 50 seeds,45,40,232,High-germination open-pollinated bottle gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Bottle Gourd,Bottle Gourd Desi (Native) Seeds,Namdhari,50g,150,113,226,High-germination desi (native) bottle gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Bitter Gourd,Bitter Gourd Hybrid Seeds,Pahuja,100g,45,32,278,High-germination hybrid bitter gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Bitter Gourd,Bitter Gourd Open-Pollinated Seeds,Pahuja,25g,99,76,92,High-germination open-pollinated bitter gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Bitter Gourd,Bitter Gourd Desi (Native) Seeds,VNR,25g,150,113,51,High-germination desi (native) bitter gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Ridge Gourd,Ridge Gourd Hybrid Seeds,Syngenta,Pack of 50 seeds,120,93,53,High-germination hybrid ridge gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Ridge Gourd,Ridge Gourd Open-Pollinated Seeds,East-West (Known-You),50g,150,133,227,High-germination open-pollinated ridge gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Ridge Gourd,Ridge Gourd Desi (Native) Seeds,Namdhari,Pack of 50 seeds,75,65,297,High-germination desi (native) ridge gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Pumpkin,Pumpkin Hybrid Seeds,VNR,25g,150,112,162,High-germination hybrid pumpkin seeds for home gardens and commercial farms.
Vegetable Seeds,Pumpkin,Pumpkin Open-Pollinated Seeds,Indo-American,25g,150,131,292,High-germination open-pollinated pumpkin seeds for home gardens and commercial farms.
Vegetable Seeds,Pumpkin,Pumpkin Desi (Native) Seeds,VNR,10g,150,105,183,High-germination desi (native) pumpkin seeds for home gardens and commercial farms.
Vegetable Seeds,Watermelon,Watermelon Hybrid Seeds,Pahuja,Pack of 50 seeds,75,55,216,High-germination hybrid watermelon seeds for home gardens and commercial farms.
Vegetable Seeds,Watermelon,Watermelon Open-Pollinated Seeds,Pahuja,50g,180,163,226,High-germination open-pollinated watermelon seeds for home gardens and commercial farms.
Vegetable Seeds,Watermelon,Watermelon Desi (Native) Seeds,Mahyco,100g,60,43,140,High-germination desi (native) watermelon seeds for home gardens and commercial farms.
Vegetable Seeds,Muskmelon,Muskmelon Hybrid Seeds,VNR,Pack of 50 seeds,60,48,40,High-germination hybrid muskmelon seeds for home gardens and commercial farms.
Vegetable Seeds,Muskmelon,Muskmelon Open-Pollinated Seeds,Pahuja,10g,150,116,101,High-germination open-pollinated muskmelon seeds for home gardens and commercial farms.
Vegetable Seeds,Muskmelon,Muskmelon Desi (Native) Seeds,Indo-American,25g,180,154,284,High-germination desi (native) muskmelon seeds for home gardens and commercial farms.
Vegetable Seeds,Cluster Bean,Cluster Bean Hybrid Seeds,Namdhari,50g,99,86,84,High-germination hybrid cluster bean seeds for home gardens and commercial farms.
Vegetable Seeds,Cluster Bean,Cluster Bean Open-Pollinated Seeds,Indo-American,10g,99,78,121,High-germination open-pollinated cluster bean seeds for home gardens and commercial farms.
Vegetable Seeds,Cluster Bean,Cluster Bean Desi (Native) Seeds,Namdhari,Pack of 50 seeds,60,42,278,High-germination desi (native) cluster bean seeds for home gardens and commercial farms.
Vegetable Seeds,Cowpea,Cowpea Hybrid Seeds,Namdhari,100g,120,105,219,High-germination hybrid cowpea seeds for home gardens and commercial farms.
Vegetable Seeds,Cowpea,Cowpea Open-Pollinated Seeds,Namdhari,10g,120,98,47,High-germination open-pollinated cowpea seeds for home gardens and commercial farms.
Vegetable Seeds,Cowpea,Cowpea Desi (Native) Seeds,Mahyco,25g,120,103,262,High-germination desi (native) cowpea seeds for home gardens and commercial farms.
Vegetable Seeds,French Bean,French Bean Hybrid Seeds,Syngenta,10g,180,160,168,High-germination hybrid french bean seeds for home gardens and commercial farms.
Vegetable Seeds,French Bean,French Bean Open-Pollinated Seeds,Syngenta,Pack of 50 seeds,75,60,206,High-germination open-pollinated french bean seeds for home gardens and commercial farms.
Vegetable Seeds,French Bean,French Bean Desi (Native) Seeds,East-West (Known-You),25g,120,95,71,High-germination desi (native) french bean seeds for home gardens and commercial farms.
Vegetable Seeds,Spinach (Palak),Spinach (Palak) Hybrid Seeds,VNR,Pack of 50 seeds,99,83,255,High-germination hybrid spinach (palak) seeds for home gardens and commercial farms.
Vegetable Seeds,Spinach (Palak),Spinach (Palak) Open-Pollinated Seeds,Namdhari,Pack of 50 seeds,120,88,49,High-germination open-pollinated spinach (palak) seeds for home gardens and commercial farms.
Vegetable Seeds,Spinach (Palak),Spinach (Palak) Desi (Native) Seeds,Pahuja,10g,180,133,116,High-germination desi (native) spinach (palak) seeds for home gardens and commercial farms.
Vegetable Seeds,Amaranthus (Mulai),Amaranthus (Mulai) Hybrid Seeds,Namdhari,10g,60,48,71,High-germination hybrid amaranthus (mulai) seeds for home gardens and commercial farms.
Vegetable Seeds,Amaranthus (Mulai),Amaranthus (Mulai) Open-Pollinated Seeds,VNR,Pack of 50 seeds,150,122,287,High-germination open-pollinated amaranthus (mulai) seeds for home gardens and commercial farms.
Vegetable Seeds,Amaranthus (Mulai),Amaranthus (Mulai) Desi (Native) Seeds,Mahyco,25g,120,85,181,High-germination desi (native) amaranthus (mulai) seeds for home gardens and commercial farms.
Vegetable Seeds,Coriander,Coriander Hybrid Seeds,IGO Seeds,100g,180,129,54,High-germination hybrid coriander seeds for home gardens and commercial farms.
Vegetable Seeds,Coriander,Coriander Open-Pollinated Seeds,Mahyco,Pack of 50 seeds,99,76,142,High-germination open-pollinated coriander seeds for home gardens and commercial farms.
Vegetable Seeds,Coriander,Coriander Desi (Native) Seeds,East-West (Known-You),100g,99,80,299,High-germination desi (native) coriander seeds for home gardens and commercial farms.
Vegetable Seeds,Fenugreek (Methi),Fenugreek (Methi) Hybrid Seeds,Syngenta,50g,150,122,143,High-germination hybrid fenugreek (methi) seeds for home gardens and commercial farms.
Vegetable Seeds,Fenugreek (Methi),Fenugreek (Methi) Open-Pollinated Seeds,Pahuja,100g,60,47,266,High-germination open-pollinated fenugreek (methi) seeds for home gardens and commercial farms.
Vegetable Seeds,Fenugreek (Methi),Fenugreek (Methi) Desi (Native) Seeds,VNR,100g,45,38,77,High-germination desi (native) fenugreek (methi) seeds for home gardens and commercial farms.
Vegetable Seeds,Capsicum,Capsicum Hybrid Seeds,Syngenta,10g,150,114,119,High-germination hybrid capsicum seeds for home gardens and commercial farms.
Vegetable Seeds,Capsicum,Capsicum Open-Pollinated Seeds,VNR,25g,60,45,279,High-germination open-pollinated capsicum seeds for home gardens and commercial farms.
Vegetable Seeds,Capsicum,Capsicum Desi (Native) Seeds,Syngenta,100g,150,136,289,High-germination desi (native) capsicum seeds for home gardens and commercial farms.
Vegetable Seeds,Green Peas,Green Peas Hybrid Seeds,Namdhari,25g,150,132,260,High-germination hybrid green peas seeds for home gardens and commercial farms.
Vegetable Seeds,Green Peas,Green Peas Open-Pollinated Seeds,Indo-American,50g,75,59,203,High-germination open-pollinated green peas seeds for home gardens and commercial farms.
Vegetable Seeds,Green Peas,Green Peas Desi (Native) Seeds,Mahyco,50g,150,117,274,High-germination desi (native) green peas seeds for home gardens and commercial farms.
Vegetable Seeds,Drumstick (Moringa),Drumstick (Moringa) Hybrid Seeds,Pahuja,50g,150,105,191,High-germination hybrid drumstick (moringa) seeds for home gardens and commercial farms.
Vegetable Seeds,Drumstick (Moringa),Drumstick (Moringa) Open-Pollinated Seeds,Mahyco,25g,45,41,93,High-germination open-pollinated drumstick (moringa) seeds for home gardens and commercial farms.
Vegetable Seeds,Drumstick (Moringa),Drumstick (Moringa) Desi (Native) Seeds,Mahyco,25g,75,56,178,High-germination desi (native) drumstick (moringa) seeds for home gardens and commercial farms.
Vegetable Seeds,Ash Gourd,Ash Gourd Hybrid Seeds,Namdhari,50g,180,142,247,High-germination hybrid ash gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Ash Gourd,Ash Gourd Open-Pollinated Seeds,Namdhari,Pack of 50 seeds,120,108,293,High-germination open-pollinated ash gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Ash Gourd,Ash Gourd Desi (Native) Seeds,VNR,25g,45,34,257,High-germination desi (native) ash gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Snake Gourd,Snake Gourd Hybrid Seeds,Mahyco,10g,75,67,173,High-germination hybrid snake gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Snake Gourd,Snake Gourd Open-Pollinated Seeds,Mahyco,10g,120,106,175,High-germination open-pollinated snake gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Snake Gourd,Snake Gourd Desi (Native) Seeds,Mahyco,Pack of 50 seeds,99,69,253,High-germination desi (native) snake gourd seeds for home gardens and commercial farms.
Vegetable Seeds,Cauliflower,Cauliflower Hybrid Seeds,East-West (Known-You),Pack of 50 seeds,120,87,162,High-germination hybrid cauliflower seeds for home gardens and commercial farms.
Vegetable Seeds,Cauliflower,Cauliflower Open-Pollinated Seeds,Mahyco,25g,60,45,143,High-germination open-pollinated cauliflower seeds for home gardens and commercial farms.
Vegetable Seeds,Cauliflower,Cauliflower Desi (Native) Seeds,East-West (Known-You),25g,150,115,188,High-germination desi (native) cauliflower seeds for home gardens and commercial farms.
Fruit Plants,Mango,Mango (Alphonso) Grafted Live Plant,Plantogallery,1 plant (1-2 ft),599,499,49,"Grafted, true-to-type Mango (Alphonso) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Mango,Mango (Banganapalli) Grafted Live Plant,Green Paradise,1 plant (1-2 ft),150,134,19,"Grafted, true-to-type Mango (Banganapalli) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Banana,Banana (G9) Grafted Live Plant,IGO Nursery,1 plant (1-2 ft),150,126,85,"Grafted, true-to-type Banana (G9) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Guava,Guava (Allahabad) Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),599,476,72,"Grafted, true-to-type Guava (Allahabad) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Papaya,Papaya (Red Lady) Grafted Live Plant,IGO Nursery,1 plant (1-2 ft),799,690,70,"Grafted, true-to-type Papaya (Red Lady) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Pomegranate,Pomegranate (Bhagwa) Grafted Live Plant,Plantogallery,1 plant (1-2 ft),599,519,65,"Grafted, true-to-type Pomegranate (Bhagwa) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Sapota,Sapota (Chiku) Grafted Live Plant,Green Paradise,1 plant (1-2 ft),799,593,44,"Grafted, true-to-type Sapota (Chiku) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Custard Apple,Custard Apple Grafted Live Plant,Green Paradise,1 plant (1-2 ft),250,216,105,"Grafted, true-to-type Custard Apple sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Lemon,Lemon (Kagzi) Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),450,404,21,"Grafted, true-to-type Lemon (Kagzi) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Sweet Lime,Sweet Lime (Mosambi) Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),150,107,109,"Grafted, true-to-type Sweet Lime (Mosambi) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Orange,Orange (Nagpur) Grafted Live Plant,Green Paradise,1 plant (1-2 ft),450,329,25,"Grafted, true-to-type Orange (Nagpur) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Jackfruit,Jackfruit Grafted Live Plant,Plantogallery,1 plant (1-2 ft),599,499,51,"Grafted, true-to-type Jackfruit sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Amla,Amla (Gooseberry) Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),799,606,73,"Grafted, true-to-type Amla (Gooseberry) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Coconut,Coconut (Dwarf) Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),250,188,15,"Grafted, true-to-type Coconut (Dwarf) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Grapes,Grapes (Thompson) Grafted Live Plant,Green Paradise,1 plant (1-2 ft),350,312,85,"Grafted, true-to-type Grapes (Thompson) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Fig,Fig (Anjeer) Grafted Live Plant,Green Paradise,1 plant (1-2 ft),250,176,54,"Grafted, true-to-type Fig (Anjeer) sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Dragon Fruit,Dragon Fruit Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),350,257,57,"Grafted, true-to-type Dragon Fruit sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Jamun,Jamun Grafted Live Plant,Plantogallery,1 plant (1-2 ft),150,119,79,"Grafted, true-to-type Jamun sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Tamarind,Tamarind Grafted Live Plant,Krishi Nursery,1 plant (1-2 ft),250,200,15,"Grafted, true-to-type Tamarind sapling ready for transplant. Starts fruiting in 1-3 years."
Fruit Plants,Wood Apple,Wood Apple Grafted Live Plant,IGO Nursery,1 plant (1-2 ft),350,302,33,"Grafted, true-to-type Wood Apple sapling ready for transplant. Starts fruiting in 1-3 years."
Plants,Flowering/Ornamental,Rose Live Plant with Pot,Green Paradise,1 plant,399,263,25,Healthy nursery-grown Rose plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Hibiscus Live Plant with Pot,Nurserylive,1 plant,199,160,41,Healthy nursery-grown Hibiscus plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Jasmine (Mallipoo) Live Plant with Pot,Ugaoo,1 plant,399,298,103,Healthy nursery-grown Jasmine (Mallipoo) plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Marigold Live Plant with Pot,Green Paradise,1 plant,149,107,178,Healthy nursery-grown Marigold plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Tulsi (Holy Basil) Live Plant with Pot,Ugaoo,1 plant,99,84,151,Healthy nursery-grown Tulsi (Holy Basil) plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Aloe Vera Live Plant with Pot,Green Paradise,1 plant,399,273,154,Healthy nursery-grown Aloe Vera plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Curry Leaf Live Plant with Pot,IGO Nursery,1 plant,399,338,194,Healthy nursery-grown Curry Leaf plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Money Plant Live Plant with Pot,Ugaoo,1 plant,99,65,54,Healthy nursery-grown Money Plant plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Areca Palm Live Plant with Pot,Nurserylive,1 plant,99,73,135,Healthy nursery-grown Areca Palm plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Bougainvillea Live Plant with Pot,IGO Nursery,1 plant,99,79,194,Healthy nursery-grown Bougainvillea plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Croton Live Plant with Pot,Ugaoo,1 plant,299,214,136,Healthy nursery-grown Croton plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Snake Plant Live Plant with Pot,IGO Nursery,1 plant,399,348,43,Healthy nursery-grown Snake Plant plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Neem Live Plant with Pot,IGO Nursery,1 plant,299,213,39,Healthy nursery-grown Neem plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Sandalwood Live Plant with Pot,Nurserylive,1 plant,149,124,72,Healthy nursery-grown Sandalwood plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Tecoma Live Plant with Pot,Ugaoo,1 plant,299,231,117,Healthy nursery-grown Tecoma plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Nerium Live Plant with Pot,IGO Nursery,1 plant,299,262,93,Healthy nursery-grown Nerium plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Flowering/Ornamental,Champa (Frangipani) Live Plant with Pot,IGO Nursery,1 plant,399,322,70,Healthy nursery-grown Champa (Frangipani) plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Lemongrass Live Plant with Pot,IGO Nursery,1 plant,399,274,85,Healthy nursery-grown Lemongrass plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Mint (Pudina) Live Plant with Pot,Nurserylive,1 plant,399,315,23,Healthy nursery-grown Mint (Pudina) plant in grow bag/pot. Air-purifying & easy to maintain.
Plants,Medicinal/Herb,Stevia Live Plant with Pot,Green Paradise,1 plant,99,76,192,Healthy nursery-grown Stevia plant in grow bag/pot. Air-purifying & easy to maintain.
Agriculture Tools,Garden Hand Tools,Hand Trowel,IGO Tools,1 unit,899,750,84,"Durable hand trowel for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Pruning Secateur,Kisankraft,1 unit,1499,1188,129,"Durable pruning secateur for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Garden Fork,IGO Tools,1 unit,899,685,31,"Durable garden fork for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Khurpi (Weeder),Neptune,1 unit,120,90,29,"Durable khurpi (weeder) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Grafting Knife,Aspee,1 unit,7999,7189,109,"Durable grafting knife for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Harvesting Tools,Sickle (Aruval),Falcon,1 unit,899,642,33,"Durable sickle (aruval) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Digging Tools,Spade (Mann Vetti),Falcon,1 unit,1499,1334,43,"Durable spade (mann vetti) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Digging Tools,Pickaxe,Aspee,1 unit,1499,1315,103,"Durable pickaxe for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Digging Tools,Crowbar,Falcon,1 unit,7999,7035,134,"Durable crowbar for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Knapsack Sprayer 16L,Neptune,1 unit,120,87,135,"Durable knapsack sprayer 16l for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Battery Sprayer 16L,Kisankraft,1 unit,7999,6247,46,"Durable battery sprayer 16l for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Power Sprayer 22L,Neptune,1 unit,2999,2324,40,"Durable power sprayer 22l for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,HTP Sprayer,Wolf-Garten,1 unit,120,91,96,"Durable htp sprayer for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Sprayers & Pumps,Foot Sprayer,Neptune,1 unit,250,221,60,"Durable foot sprayer for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Brush Cutter,Kisankraft,1 unit,120,105,84,"Durable brush cutter for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Mini Power Tiller,Wolf-Garten,1 unit,2999,2138,109,"Durable mini power tiller for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Chaff Cutter,Aspee,1 unit,250,193,119,"Durable chaff cutter for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Water Pump 1HP,Wolf-Garten,1 unit,120,90,23,"Durable water pump 1hp for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Power Tools,Earth Auger,Kisankraft,1 unit,1499,1239,48,"Durable earth auger for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Farm Equipment,Wheelbarrow,Falcon,1 unit,1499,1180,90,"Durable wheelbarrow for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Drip Lateral 16mm,Falcon,1 unit,2999,2570,119,"Durable drip lateral 16mm for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Sprinkler Set,IGO Tools,1 unit,4999,4412,150,"Durable sprinkler set for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Drip Emitter (4 LPH),Falcon,1 unit,250,177,115,"Durable drip emitter (4 lph) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Rain Pipe 100m,Neptune,1 unit,499,413,83,"Durable rain pipe 100m for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Irrigation,Garden Hose 30m,Neptune,1 unit,120,105,150,"Durable garden hose 30m for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Pruning Saw,Falcon,1 unit,499,396,97,"Durable pruning saw for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Hedge Shear,Wolf-Garten,1 unit,1499,1125,76,"Durable hedge shear for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Garden Hand Tools,Hand Cultivator,Neptune,1 unit,899,683,110,"Durable hand cultivator for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Nursery Tools,Seedling Tray (98 cells),IGO Tools,1 unit,499,413,29,"Durable seedling tray (98 cells) for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Tools,Harvesting Tools,Harvesting Scissor,Falcon,1 unit,7999,6479,125,"Durable harvesting scissor for farm and garden use. Heavy-duty build, long-lasting."
Agriculture Materials,Manures & Fertilizers,Vermicompost,Multiplex,5kg,1299,1026,96,Premium quality vermicompost for healthy crop growth and soil enrichment.
Agriculture Materials,Manures & Fertilizers,Cow Dung Manure,Geolife,5kg,149,111,114,Premium quality cow dung manure for healthy crop growth and soil enrichment.
